Experiment,Model,Reward,Efficiency (%),Regime,Capacity,Runs
5,EXPNEURALUCB,7716.47,93.2,T,S2,5-run 
1,EXPNEURALUCB,2579.97,92.6,T,S2,5-run 
2,EXPNEURALUCB,3967.91,94.9,T,S2,5-run 
3,EXPNEURALUCB,5339.3,95.8,T,S2,5-run 
4,EXPNEURALUCB,5350.98,76.8,T,S2,5-run 
5,EXPNEURALUCB,8257.64,98.8,T,S2,5-run 
1,EXPNEURALUCB,2561.48,92.7,T,S2,3-run 
2,EXPNEURALUCB,3610.94,87.1,T,S2,3-run 
3,EXPNEURALUCB,5148.42,93.2,T,S2,3-run 
1,EXPNEURALUCB,2519.25,91.4,T,S2,3-run 
2,EXPNEURALUCB,3800.08,91.9,T,S2,3-run 
3,EXPNEURALUCB,4930.2,89.4,T,S2,3-run 
1,EXPNEURALUCB,2537.48,92.0,T,S2,3-run 
2,EXPNEURALUCB,3661.33,88.5,T,S2,3-run 
3,EXPNEURALUCB,4866.47,88.2,T,S2,3-run 
1,EXPNEURALUCB,2302.1,82.9,T,S2,3-run 
2,EXPNEURALUCB,3889.46,93.0,T,S2,3-run 
3,EXPNEURALUCB,4961.61,89.5,T,S2,3-run 
1,EXPNEURALUCB,2570.4,92.2,T,S2,3-run 
2,EXPNEURALUCB,3999.14,95.7,T,S2,3-run 
3,EXPNEURALUCB,5321.97,95.5,T,S2,3-run 
1,EXPNEURALUCB,2510.53,90.9,T,S1.5,3-run 
2,EXPNEURALUCB,3862.46,93.2,T,S1.5,3-run 
3,EXPNEURALUCB,5120.26,92.7,T,S1.5,3-run 
1,EXPNEURALUCB,2494.13,90.5,T,S1.5,3-run 
2,EXPNEURALUCB,3786.6,91.6,T,S1.5,3-run 
3,EXPNEURALUCB,4659.56,84.5,T,S1.5,3-run 
1,EXPNEURALUCB,2540.21,92.0,T,S1.5,3-run 
2,EXPNEURALUCB,3651.29,88.2,T,S1.5,3-run 
3,EXPNEURALUCB,4765.26,86.3,T,S1.5,3-run 
1,EXPNEURALUCB,2420.73,88.2,T,S1.5,3-run 
2,EXPNEURALUCB,3778.86,91.4,T,S1.5,3-run 
3,EXPNEURALUCB,4379.0,79.1,T,S1.5,3-run 
1,EXPNEURALUCB,2334.41,83.8,T,S1.5,3-run 
2,EXPNEURALUCB,3396.28,81.2,T,S1.5,3-run 
3,EXPNEURALUCB,5395.65,96.8,T,S1.5,3-run 
1,EXPNEURALUCB,2328.8,84.3,Tb,S1,3-run 
2,EXPNEURALUCB,3859.06,93.2,Tb,S1,3-run 
3,EXPNEURALUCB,4392.78,79.6,Tb,S1,3-run 
1,EXPNEURALUCB,2313.77,84.0,Tb,S1,3-run 
2,EXPNEURALUCB,2741.2,66.3,Tb,S1,3-run 
3,EXPNEURALUCB,4541.24,82.4,Tb,S1,3-run 
1,EXPNEURALUCB,2272.45,82.1,Tb,S1,3-run 
2,EXPNEURALUCB,3748.37,90.6,Tb,S1,3-run 
3,EXPNEURALUCB,4448.73,80.6,Tb,S1,3-run 
1,EXPNEURALUCB,2636.41,94.9,Tb,S1,3-run 
2,EXPNEURALUCB,3817.66,92.2,Tb,S1,3-run 
3,EXPNEURALUCB,3060.98,55.4,Tb,S1,3-run 
1,EXPNEURALUCB,2425.78,87.0,Tb,S1,3-run 
2,EXPNEURALUCB,3929.26,94.0,Tb,S1,3-run 
3,EXPNEURALUCB,4148.86,74.4,Tb,S1,3-run 
1,EXPNEURALUCB,2328.8,84.3,Tb,S1,5-run 
2,EXPNEURALUCB,3859.06,93.2,Tb,S1,5-run 
3,EXPNEURALUCB,4392.78,79.6,Tb,S1,5-run 
4,EXPNEURALUCB,6407.52,92.9,Tb,S1,5-run 
5,EXPNEURALUCB,7734.65,93.3,Tb,S1,5-run 
1,EXPNEURALUCB,2313.77,84.0,Tb,S1,5-run 
2,EXPNEURALUCB,2741.2,66.3,Tb,S1,5-run 
3,EXPNEURALUCB,4541.24,82.4,Tb,S1,5-run 
4,EXPNEURALUCB,6306.84,91.5,Tb,S1,5-run 
5,EXPNEURALUCB,6821.58,82.5,Tb,S1,5-run 
1,EXPNEURALUCB,2272.45,82.1,Tb,S1,5-run 
